sort,obj_id,old_obj,year,query,sender1,sender_id,sender_n,date_sent,date_when,recipient1,recipient_id,recipient_n,place_sent,place_n,untranscribed
13,obj1619,Obj1657,1839,,Vivien,ppl:avivien,obj1619-s-1,19 May 1839,1839-05-19,DBW,ppl:dbw,,,,"
                    
                    
                  
                            Vivien, 19 May 1839
                        
               
                    
                        In French [photo] – not yet transcribed
               
                "
14,obj1620,Obj1658,1839,,Dr John Croghan,ppl:jocroghan,obj1620-s-1,20 May 1839,1839-05-20,DBW,ppl:dbw,,Louisville,obj1620-pl-563,
15,obj1621,Obj1659,1839,,Thomas Clemson,ppl:tgc,obj1621-s-1,28 May 1839,1839-05-28,DBW,ppl:dbw,,"Jefferson County, VA",obj1621-pl-565,
16,obj1622,Obj1660,1839,,John Bachman,ppl:jbachman,obj1622-s-1,17 June 1839,1839-06-17,DBW,ppl:dbw,,West Point,obj1622-pl-567,
17,obj1623,Obj1661,1839,,Vanderlyn,ppl:jvanderlyn,obj1623-s-1,25 June 1839,1839-06-25,DBW,ppl:dbw,,,,
18,obj1624,Obj1662,1839,,Dr Samuel Martin Stephenson,ppl:sms,obj1624-s-1,7 June 1839,1839-06-07,DBW,ppl:dbw,,"11 Wellington Place, Belfast",obj1624-pl-569,
19,obj1624a,Obj1662 ,1839,,Jared Sparks,ppl:jasp,obj1624a-s-1,23 July 1839,,DBW,ppl:dbw,,"Cambridge, Mass",obj1624a-pl-571,
20,obj1625,Obj1663,1839,,R. Church,ppl:rchurch,obj1625-s-1,31 Jul 1839,1839-07-31,DBW,ppl:dbw,,,,
21,obj1626,Obj1664,1839,,R.H. Cabell,ppl:rhcabell,obj1626-s-1,2 Aug 1839,1839-08-02,DBW,ppl:dbw,,"Richmond, VA",obj1626-pl-573,
22,obj1627,Obj1665,1839,,John Jacquelin Ambler,ppl:jjambler,obj1627-s-1,4 Aug 1839,1839-08-04,DBW,ppl:dbw,,"Virginia, US",obj1627-pl-575,
23,obj1628,Obj1666,1839,,Madame Patterson [Elizabeth Patterson Bonaparte],ppl:epb,obj1628-s-1,15 Aug 1839,1839-08-15,DBW,ppl:dbw,,,,
24,obj1629,Obj1667,1839,,Isaiah Townsend,ppl:ditj,obj1629-s-1,27 Aug 1839,1839-08-27,DBW,ppl:dbw,,Albany,obj1629-pl-584,
25,obj1630,Obj1668,1839,,John Caroll Brent,ppl:jcbrent,obj1630-s-1,3 Sep 1839,1839-09-03,DBW,ppl:dbw,,,,
26,obj1631,Obj1669,1839,,Maximilien Godefroy,ppl:mgod,obj1631-s-1,2 Oct 1839,1839-10-02,DBW,ppl:dbw,,,,"
                    
                    
                  
                            Maximilien Godefroy, 2 Oct 1839
                        
               
                    
                        In french [photo] – not yet transcribed 
               
                "
27,obj1632,Obj1700,1839,,Robinson,ppl:mrob,obj1632-s-1,9 Oct 1839,1839-10-09,DBW,ppl:dbw,,Paris,obj1632-pl-588,
28,obj1633,Obj1701,1839,,Alexander Dallas Bache,ppl:adbache,obj1633-s-1,4 Oct 1839,1839-10-04,DBW,ppl:dbw,,,,
29,obj1634,Obj1702,1839,,Alban G Smith,ppl:ags,obj1634-s-1,4 Oct 1839,1839-10-04,DBW,ppl:dbw,,,,
30,obj1635,Obj1703,1839,,Alexander Dallas Bache,ppl:adbache,obj1635-s-1,19 Oct 1839,1839-10-19,DBW,ppl:dbw,,Philadelphia,obj1635-pl-589,
31,obj1636,Obj1704,1839,,Henry Wheaton,ppl:hwheaton,obj1636-s-1,6 Dec 1839,1839-12-06,DBW,ppl:dbw,,,,
32,obj1637,Obj1705,1839,,R Church,ppl:rchurch,obj1637-s-1,c. 1839,1839,DBW,ppl:dbw,,,,
33,obj1638,Obj1706,1839,,Church,ppl:rchurch,obj1638-s-1,c. 1839,1839,DBW,ppl:dbw,,,,
34,obj1639,Obj1707,1839,legal,,,,,,,,,,,"
                    
                    
                  
                            Chambre des Deputies, Commission d’Enquuete
                        
               
                    
                        In French [photo x 2] – not yet transcribed
               
                "
35,obj1640,Obj1708,1839,legal,,,,,,,,,,,"
                    
                    
                  
                            DBW handwritten document – ‘certificate of the
                                citizens’
                        
               
                    
                        [photo] – not yet transcribed
               
                "
1,obj1642,Obj1709,1840,,Henri Wheaton,ppl:hwheaton,obj1642-s-1,16 Jan 1840,1840-01-16,DBW,ppl:dbw,,,,
2,obj1643,Obj1710,1840,,Henry B Carey,ppl:hbcarey,obj1643-s-1,[c.Feb 1840],1840-02,DBW,ppl:dbw,,,,
3,obj1644,Obj1711,1840,,Charles Sumner,ppl:csu,obj1644-s-1,12 Mar 1840,1840-03-12,DBW,ppl:dbw,,Brussels,obj1644-pl-595,
4,obj1645,Obj1712,1840,,G. Troost,ppl:gtroost,obj1645-s-1,"23 Martz [March], 1840",1840-03-23,DBW,ppl:dbw,,"Nashville, Tennessee",obj1645-pl-599,
5,obj1646,Obj1713,1840,,Charles Sumner,ppl:csu,obj1646-s-1,31 Mar 1840,1840-03-31,DBW,ppl:dbw,,London,obj1646-pl-603,
6,obj1647,Obj1714,1840,,J.P. Boudet,ppl:jpboudet,obj1647-s-1,14 Apr 1840,1840-04-14,DBW,ppl:dbw,,,,
7,obj1648,Obj1715,1840,,John C. Montgomery,ppl:johncmont,obj1648-s-1,16 April 1840,1840-04-16,DBW,ppl:dbw,,Philadelphia,obj1648-pl-606,
8,obj1649,Obj1716,1840,,Anna Bridgen,ppl:abridgen,obj1649-s-1,20 Apr 1840,1840-04-20,DBW,ppl:dbw,,,,
9,obj1650,Obj1717,1840,,Richard Harlan,ppl:rharlan,obj1650-s-1,21 Apr 1840,1840-04-21,DBW,ppl:dbw,,NY,obj1650-pl-610,
10,obj1651,Obj1718,1840,,Isaiah Townsend,ppl:ditj,obj1651-s-1,21 Apr 1840,1840-04-21,DBW,ppl:dbw,,Albany,obj1651-pl-613,
11,obj1652,Obj1719,1840,,Dr C. Winslow,ppl:cfwinslow,obj1652-s-1,21 April 1840,1840-04-21,DBW,ppl:dbw,,Nantucket,obj1652-pl-619,
12,obj1653,Obj1720,1840,,George Vaughan,ppl:geovaughan,obj1653-s-1,20 April 1840,1840-04-20,DBW,ppl:dbw,,Philadelphia,obj1653-pl-623,
13,obj1654,Obj1721,1840,,Charles Brooks,ppl:ctbrooks,obj1654-s-1,22 May 1840,1840-05-22,DBW,ppl:dbw,,St Germain,obj1654-pl-624,
14,obj1655,Obj1722,1840,,John Carroll Brent,ppl:jcbrent,obj1655-s-1,25 May [1840],1840-05-25,DBW,ppl:dbw,,"US Consulate, Paris",obj1655-pl-625,
15,obj1656,Obj1723,1840,,Josiah Quincy,ppl:jqt,obj1656-s-1,29 May 1840,1840-05-29,DBW,ppl:dbw,,Harvard,obj1656-pl-627,
16,obj1657,Obj1723,1840,,John C. Warren,ppl:jcwarren,obj1657-s-1,2 June 1840,1840-06-02,DBW,ppl:dbw,,Boston,obj1657-pl-628,
17,obj1658,Obj1723,1840,,George Vaughan,ppl:geovaughan,obj1658-s-1,15 June 1840,1840-06-15,DBW,ppl:dbw,,,,
18,obj1659,Obj1724,1840,,H. B. Carey,ppl:hbcarey,obj1659-s-1,17 June 1840,1840-06-17,DBW,ppl:dbw,,Philadelphia,obj1659-pl-629,
19,obj1660,Obj1725,1840,,Bradford R. Wood of Albany,ppl:brwood,obj1660-s-1,June 1840,1840-06,DBW,ppl:dbw,,Paris,obj1660-pl-631,
20,obj1661,Obj1726,1840,,Dr Winslow,ppl:cfwinslow,obj1661-s-1,1 Jul 1840,1840-07-01,DBW,ppl:dbw,,Nantucket,obj1661-pl-633,
21,obj1662,Obj1726,1840,,Isaiah Townsend,ppl:ditj,obj1662-s-1,29 Jul 1840,1840-07-29,DBW,ppl:dbw,,Albany,obj1662-pl-640,
22,obj1663,Obj1727,1840,,Joel R. Poinsett,ppl:jrpoinsett,obj1663-s-1,25 Aug 1840,1840-08-25,DBW,ppl:dbw,,Washington,obj1663-pl-648,
23,obj1664,Obj1728,1840,,Fitch brothers & co.,org:org_034,obj1664-on-111,21 Aug 1840,1840-08-21,DBW,ppl:dbw,,Marseilles,obj1664-pl-652,
24,obj1665,Obj1729,1840,,John Carroll Brent,ppl:jcbrent,obj1665-s-1,28 Aug 1840,1840-08-28,DBW,ppl:dbw,,US Consulate Paris,obj1665-pl-654,
25,obj1666,Obj1730,1840,,Dr Joseph Sargeant,ppl:jsargeant,obj1666-s-1,31 Aug 1840,1840-08-31,DBW,ppl:dbw,,Worcester Mass,obj1666-pl-656,
26,obj1667,Obj1731,1840,,Eugene A Vail,ppl:eavail,obj1667-s-1,3 Sep 1840,1840-09-03,DBW,ppl:dbw,,rue d’alger no 12,obj1667-pl-658,
27,obj1668,Obj1732,1840,,J. G. Schwartz,ppl:jgschwartz,obj1668-s-1,4 Sep 1840,1840-09-04,DBW,ppl:dbw,,Vienna,obj1668-pl-659,
28,obj1669,Obj1733,1840,,J.R. Fenwick,ppl:jrfenwick,obj1669-s-1,12 Sep 1840,1840-09-12,DBW,ppl:dbw,,Boston,obj1669-pl-661,
29,obj1670,Obj1734,1840,,Richard Harlan,ppl:rharlan,obj1670-s-1,22 Sep 1840,1840-09-22,DBW,ppl:dbw,,Phil,obj1670-pl-664,
30,obj1671,Obj1735,1840,,Joel R. Poinsett,ppl:jrpoinsett,obj1671-s-1,27 Sep 1840,1840-09-27,DBW,ppl:dbw,,Washington,obj1671-pl-668,
31,obj1672,Obj1736,1840,,Harry Pinken,ppl:hpinken,obj1672-s-1,,,DBW,ppl:dbw,,,,
32,obj1673,Obj1737,1840,,Chev. Castillio Barrello,ppl:ccbarreto,obj1673-s-1,30 Sep 1840,1840-09-30,DBW,ppl:dbw,,Hamburg,obj1673-pl-672,"
                    
                    
                  
                            Chev. Castillio Barrello, Hamburg, 30 Sep 1840
                        
               
                    
                        In French [photo] – not yet transcribed
               
                "
33,obj1674,Obj1738,1840,,Isaiah Townsend,ppl:ditj,obj1674-s-1,13 Nov 1840,1840-11-13,DBW,ppl:dbw,,,,
34,obj1675,Obj1739,1840,,Richard Harlan,ppl:rharlan,obj1675-s-1,29 Nov 1840,1840-11-29,DBW,ppl:dbw,,,,
35,obj1676,Obj1740,1840,,Leonard Woods,ppl:lwoods,obj1676-s-1,18 Dec 1840,1840-12-18,DBW,ppl:dbw,,,,
36,obj1677,Obj1741,1840,,Dr Byrne,ppl:bnbyrne,obj1677-s-1,29 Dec 1840,1840-12-29,DBW,ppl:dbw,,"Astor House, NY",obj1677-pl-675,
37,obj1678,Obj1742,1840,,C. Elliot Scoville [Charles Elliot Scoville],ppl:cescoville,obj1678-s-1,c. 1840,1840,DBW,ppl:dbw,,,,
38,obj1679,Obj1743,1840,,Henry Seybert,ppl:hseybert,obj1679-s-1,[c.1840],1840,DBW,ppl:dbw,,,,
1,obj1681,Obj1744,1841,,Isaiah Townsend,ppl:ditj,obj1681-s-1,16 Jan 1841,1841-01-16,DBW,ppl:dbw,,London,obj1681-pl-677,
2,obj1682,Obj1745,1841,,Josiah Quincy,ppl:jqt,obj1682-s-1,29 Jan 1841,1841-01-29,DBW,ppl:dbw,,,,
3,obj1683,Obj1746,1841,,James A Washington,ppl:jawashington,obj1683-s-1,6 Feb 1841,1841-02-06,DBW,ppl:dbw,,NY,obj1683-pl-680,
4,obj1684,Obj1747,1841,,Alexander Porter,ppl:apor,obj1684-s-1,9 Feb 1841,1841-02-09,DBW,ppl:dbw,,New Orleans,obj1684-pl-683,
5,obj1685,Obj1748,1841,,C Bolton,ppl:cbolton,obj1685-s-1,3 Mar 1841,1841-03-03,DBW,ppl:dbw,,New York,obj1685-pl-684,
6,obj1686,Obj1749,1841,,Benjamin F French,ppl:bffrench,obj1686-s-1,15 Mar 1841,1841-03-15,DBW,ppl:dbw,,New Orleans,obj1686-pl-686,
7,obj1687,Obj1750,1841,,A D. Bache,ppl:adbache,obj1687-s-1,9 April 1841,1841-04-09,DBW,ppl:dbw,,Philadelphia,obj1687-pl-687,
8,obj1688,Obj1751,1841,,Francis Markoe,ppl:fmarkoe,obj1688-s-1,7 May 1841,1841-05-07,DBW,ppl:dbw,,Washington,obj1688-pl-689,
9,obj1689,Obj1752,1841,,Isaiah Townsend,ppl:ditj,obj1689-s-1,11 May 1841,1841-05-11,DBW,ppl:dbw,,Rome,obj1689-pl-690,
10,obj1690,Obj1752,1841,,Benjamin Pierce,ppl:bpeirce,obj1690-s-1,13 May 1841,1841-05-13,DBW,ppl:dbw,,"Cambridge, MA",obj1690-pl-692,
11,obj1691,Obj1753,1841,,J. Schorfield,ppl:jschorfield,obj1691-s-1,16 June 1841,1841-06-16,DBW,ppl:dbw,,New Orleans,obj1691-pl-693,
12,obj1692,Obj1754,1841,,Charles Sumner,ppl:csu,obj1692-s-1,20 June 1841,1841-06-20,DBW,ppl:dbw,,,,
13,obj1693,Obj1755,1841,,Joel R. Poinsett,ppl:jrpoinsett,obj1693-s-1,25 June 1841,1841-06-25,DBW,ppl:dbw,,Homestead,obj1693-pl-697,
14,obj1694,Obj1756,1841,,Charles T. Jackson,ppl:ctjackson,obj1694-s-1,29 June 1841,1841-06-29,DBW,ppl:dbw,,Boston,obj1694-pl-699,
15,obj1695,Obj1757,1841,,Judge Alexander Porter,ppl:apor,obj1695-s-1,12 Jul 1841,1841-07-12,DBW,ppl:dbw,,Washington,obj1695-pl-702,
16,obj1696,Obj1758,1841,,Josiah Quincy,ppl:jqt,obj1696-s-1,21 Aug 1841,1841-08-21,DBW,ppl:dbw,,Harvard,obj1696-pl-704,
17,obj1697,Obj1759,1841,,John H. Redfield,ppl:jhredfield,obj1697-s-1,17 Sep 1841,1841-09-17,DBW,ppl:dbw,,NY,obj1697-pl-705,
18,obj1698,Obj1760,1841,,John Vaughan,ppl:jvau,obj1698-s-1,27 Sep 1841,1841-09-27,DBW,ppl:dbw,,Philadelphia,obj1698-pl-706,
19,obj1699,Obj1761,1841,,John Pickering,ppl:jpickering,obj1699-s-1,22 Oct 1841,1841-10-22,DBW,ppl:dbw,,Boston,obj1699-pl-707,
20,obj1700,Obj1762,1841,,J. E. Worcester,ppl:jeworcester,obj1700-s-1,20 Dec 1841,1841-12-20,DBW,ppl:dbw,,Cambridge,obj1700-pl-708,
1,obj1702,Obj1763,1842,,Rob Walsh,ppl:rwj,obj1702-s-1,22 Jan 1842,1842-01-22,DBW,ppl:dbw,,Paris,obj1702-pl-710,
2,obj1703,Obj1764,1842,,George Ord,ppl:gord,obj1703-s-1,28 Jan 1842,1842-01-28,DBW,ppl:dbw,,Phil,obj1703-pl-712,
3,obj1704,Obj1765,1842,,Isaiah Townsend,ppl:ditj,obj1704-s-1,3 Feb 1842,1842-02-03,DBW,ppl:dbw,,,,
4,obj1705,Obj1766,1842,,Petty Vaughan,ppl:pvaughan,obj1705-s-1,28 Feb 1842,1842-02-28,DBW,ppl:dbw,,London,obj1705-pl-715,
5,obj1706,Obj1767,1842,,Thomas Warner,ppl:twarner,obj1706-s-1,7 Mar 1842,1842-03-07,DBW,ppl:dbw,,,,
6,obj1707,Obj1768,1842,,Isaiah Townsend,ppl:ditj,obj1707-s-1,19 Mar 1842,1842-03-19,DBW,ppl:dbw,,Glasgow,obj1707-pl-717,
7,obj1708,Obj1769,1842,,Isaiah Townsend,ppl:ditj,obj1708-s-1,22 Mar 1842,1842-03-22,DBW,ppl:dbw,,Glasgow,obj1708-pl-719,
8,obj1709,Obj1770,1842,,George Ord,ppl:gord,obj1709-s-1,27 [?Mar?] 1842,1842-03-27,DBW,ppl:dbw,,Philadelphia,obj1709-pl-723,
9,obj1710,Obj1771,1842,,George Ord,ppl:gord,obj1710-s-1,29 Apr 1842,1842-04-29,DBW,ppl:dbw,,Phi.,obj1710-pl-724,
10,obj1711,Obj1772,1842,,J Wyman,ppl:jwyman,obj1711-s-1,30 Apr 1842,1842-04-30,DBW,ppl:dbw,,,,
11,obj1712,Obj1773,1842,,Dr John G. Adams,ppl:jgadams,obj1712-s-1,30 June 1842,1842-06-30,DBW,ppl:dbw,,New York,obj1712-pl-726,
12,obj1713,Obj1774,1842,,H. Wallace,ppl:hwallace,obj1713-s-1,8 Jul 1843,1843-07-08,DBW,ppl:dbw,,Downpatrick,obj1713-pl-727,
13,obj1714,Obj1775,1842,,Dr Charles H. Beck,ppl:chbeck,obj1714-s-1,26 Jul 1842,1842-07-26,DBW,ppl:dbw,,,,
14,obj1715,Obj1776,1842,,Mr DuPonceau,ppl:pdup,obj1715-s-1,6 Aug 1842,1842-08-06,DBW,ppl:dbw,,Philadelphia,obj1715-pl-728,
15,obj1716,Obj1777,1842,,G Ord,ppl:gord,obj1716-s-1,13 Aug 1842,1842-08-13,DBW,ppl:dbw,,Philadelphia,obj1716-pl-729,
16,obj1717,Obj1778,1842,,G. Ord,ppl:gord,obj1717-s-1,24 Aug 1842,1842-08-24,DBW,ppl:dbw,,Philadelphia,obj1717-pl-730,
17,obj1718,Obj1779,1842,,Dr Winslow,ppl:cfwinslow,obj1718-s-1,17 Sep 1842 & Nov 19 1842,1842-11-19,DBW,ppl:dbw,,Nantucket,obj1718-pl-733,
18,obj1719,Obj1780,1842,,Isaiah Townsend,ppl:ditj,obj1719-s-1,14 Oct 1842,1842-10-14,DBW,ppl:dbw,,,,
19,obj1720,Obj1781,1842,,G. Ord,ppl:gord,obj1720-s-1,5 Nov 1842,1842-11-05,DBW,ppl:dbw,,,,
20,obj1721,Obj1782,1842,,Dr Seymour,ppl:drseymour,obj1721-s-1,8 Nov 1842,1842-11-08,DBW,ppl:dbw,,Paris,obj1721-pl-740,
21,obj1722,Obj1783,1842,,G. Ord,ppl:gord,obj1722-s-1,13 Nov 1842,1842-11-13,DBW,ppl:dbw,,Philadelphia,obj1722-pl-741,
22,obj1723,Obj1784,1842,,Isaiah Townsend,ppl:ditj,obj1723-s-1,30 Dec 1842,1842-12-30,DBW,ppl:dbw,,,,
1,obj1725,Obj1785,1843,,G. Ord,ppl:gord,obj1725-s-1,27 Jan 1843,1843-01-27,DBW,ppl:dbw,,,,
2,obj1726,Obj1786,1843,,Mr Rich,ppl:orich,obj1726-s-1,7 Feb 1843,1843-02-07,DBW,ppl:dbw,,,,
3,obj1727,Obj1787,1843,,Madame Charlotte A. H. Brooks,ppl:cahbrooks,obj1727-s-1,22 Feb 1843,1843-02-22,DBW,ppl:dbw,,20 Rue Monsieur La Prince,obj1727-pl-749,
4,obj1728,Obj1788,1843,,Isaiah Townsend,ppl:ditj,obj1728-s-1,27 Feb 1843,1843-02-27,DBW,ppl:dbw,,Albany,obj1728-pl-750,
5,obj1729,Obj1789,1843,,O Rich,ppl:orich,obj1729-s-1,4 March 1843,1843-03-04,DBW,ppl:dbw,,,,
6,obj1730,Obj1790,1843,,Dr Samuel Martin Stephenson,ppl:sms,obj1730-s-1,22 March 1843,1843-03-22,DBW,ppl:dbw,,Belfast,obj1730-pl-752,
7,obj1731,Obj1791,1843,,Isaiah Townsend,ppl:ditj,obj1731-s-1,28 April 1843,1843-04-28,DBW,ppl:dbw,,Albany,obj1731-pl-754,
8,obj1732,Obj1792,1843,,Ord,ppl:gord,obj1732-s-1,19 May 1843,1843-05-19,DBW,ppl:dbw,,Philadelphia,obj1732-pl-755,
9,obj1733,Obj1793,1843,,Mrs Patterson [Bonaparte],ppl:epb,obj1733-s-1,29 May 1843,1843-05-29,DBW,ppl:dbw,,Baltimore,obj1733-pl-756,
10,obj1734,Obj1794,1843,legal,,,,,,,,,,,
11,obj1735,Obj1795,1843,,Mme Brooks,ppl:cahbrooks,obj1735-s-1,3 June 1843,1843-06-03,DBW,ppl:dbw,,Rue Castiglione,obj1735-pl-758,
12,obj1736,Obj1796,1843,,Dr S. M. Stephenson,ppl:sms,obj1736-s-1,14 June 1843,1843-06-14,DBW,ppl:dbw,,Belfast,obj1736-pl-762,
13,obj1737,Obj1797,1843,,Charles Parker,ppl:cparker,obj1737-s-1,15 June 1843,1843-06-15,DBW,ppl:dbw,,London,obj1737-pl-763,
14,obj1738,Obj1798,1843,,Wheaton Berlin,ppl:wberlin,obj1738-s-1,21 June 1843,1843-06-21,DBW,ppl:dbw,,,,"
                    
                    
                  
                            Wheaton Berlin, 21 June 1843
                        
               
                    Stated by Mr Guizot
                         in the chamber of Deputies that you had made a communication to the
                        Academy of Science about the projected [transcription incomplete]
               
                "
15,obj1739,Obj1799,1843,,DuPonceau,ppl:pdup,obj1739-s-1,10 Aug 1843,1843-08-10,DBW,ppl:dbw,,"Phi,",obj1739-pl-765,
16,obj1740,Obj1800,1843,,John Pickering,ppl:jpickering,obj1740-s-1,5 Sep 1843,1843-09-05,DBW,ppl:dbw,,Boston,obj1740-pl-766,
17,obj1741,Obj1801,1843,,Dr Adams,ppl:jgadams,obj1741-s-1,25 Sep 1843,1843-09-25,DBW,ppl:dbw,,NY,obj1741-pl-767,
18,obj1742,Obj1802,1843,,Robert M. Patterson,ppl:rmpatterson,obj1742-s-1,6 Oct 1843,1843-10-06,DBW,ppl:dbw,,Philadelphia,obj1742-pl-769,
19,obj1743,Obj1803,1843,,Dr Adams,ppl:jgadams,obj1743-s-1,1 Nov 1843,1843-11-01,DBW,ppl:dbw,,New York,obj1743-pl-771,
20,obj1744,Obj1804,1843,,Dr Adams,ppl:jgadams,obj1744-s-1,1 Nov 1843,1843-11-01,DBW,ppl:dbw,,,,
21,obj1745,Obj1805,1843,,Dr J. C. Warren,ppl:jcwarren,obj1745-s-1,23 Dec [1843?],1843-12-23,DBW,ppl:dbw,,Paris,obj1745-pl-772,
22,obj1746,Obj1806,1843,,Isaiah Townsend,ppl:ditj,obj1746-s-1,29 Dec 1843,1843-12-29,DBW,ppl:dbw,,Albany,obj1746-pl-773,
23,obj1747,Obj1807,1843,,W. Adams,ppl:wadams,obj1747-s-1,30 Dec 1843,1843-12-30,DBW,ppl:dbw,,New York,obj1747-pl-777,
24,obj1748,Obj1808,1843,,M. Wylie,ppl:sbw,obj1748-s-1,[1843],1843,DBW,ppl:dbw,,,,
1,obj1750,Obj1809,1844,,Stephenson,ppl:sms,obj1750-s-1,12 Jan 1844,1844-01-12,DBW,ppl:dbw,,Belfast,obj1750-pl-781,
2,obj1751,Obj1810,1844,,L.H. Sigourney,ppl:lhsigourney,obj1751-s-1,16 Jan 1844,1844-01-16,DBW,ppl:dbw,,"Harford, Connecticut",obj1751-pl-783,
3,obj1752,Obj1811,1844,,Moncrue Robinson,ppl:mrob,obj1752-s-1,26 Jan 1844,1844-01-26,DBW,ppl:dbw,,Richmond,obj1752-pl-785,
4,obj1753,Obj1812,1844,,Jonathan Thompson,ppl:jthompson,obj1753-s-1,17 Feb 1844,1844-02-17,DBW,ppl:dbw,,NY,obj1753-pl-786,
5,obj1754,Obj1813,1844,,Isaiah Townsend,ppl:ditj,obj1754-s-1,26 Feb 1844,1844-02-26,DBW,ppl:dbw,,Albany,obj1754-pl-787,
6,obj1755,Obj1814,1844,,William. C. Preston,ppl:wcp,obj1755-s-1,March 1844,1844-03,DBW,ppl:dbw,,Columbia,obj1755-pl-790,
7,obj1756,Obj1815,1844,,Mr Wylie,ppl:sbw,obj1756-s-1,29 Mar 1844,1844-03-29,DBW,ppl:dbw,,New York,obj1756-pl-791,
8,obj1757,Obj1816,1844,,Mr Charles [Brooks],ppl:ctbrooks,obj1757-s-1,22 April 1844,1844-04-22,DBW,ppl:dbw,,Boston,obj1757-pl-794,
9,obj1758,Obj1817,1844,,N. Charles Jackson,ppl:ncjackson,obj1758-s-1,4 May 1844,1844-05-04,DBW,ppl:dbw,,Boston,obj1758-pl-799,
10,obj1759,Obj1818,1844,,George Bancroft,ppl:geobancroft,obj1759-s-1,11 May 1844,1844-05-11,New York State Library,org:org_076,obj1759-on-145,Boston,obj1759-pl-803,
11,obj1760,Obj1819,1844,,Jared Sparks,ppl:jasp,obj1760-s-1,10 May 1844,1844-05-10,DBW,ppl:dbw,,"Cambridge, Mass",obj1760-pl-805,
12,obj1761,Obj1820,1844,,George Ord,ppl:gord,obj1761-s-1,13 May 1844,1844-05-13,DBW,ppl:dbw,,,,
13,obj1762,Obj1821,1844,,Ord,ppl:gord,obj1762-s-1,17 May 1844,1844-05-17,DBW,ppl:dbw,,,,
14,obj1763,Obj1822,1844,,Ord,ppl:gord,obj1763-s-1,18 May 1844,1844-05-18,DBW,ppl:dbw,,,,
15,obj1764,Obj1823,1844,,Isaiah Townsend,ppl:ditj,obj1764-s-1,30 May 1844,1844-05-30,DBW,ppl:dbw,,,,
16,obj1765,Obj1824,1844,,Dr Adams,ppl:jgadams,obj1765-s-1,17 June 1844,1844-06-17,DBW,ppl:dbw,,NY,obj1765-pl-815,
17,obj1766,Obj1825,1844,,Isaiah Townsend,ppl:ditj,obj1766-s-1,28 June 1844,1844-06-28,DBW,ppl:dbw,,Albany,obj1766-pl-816,
18,obj1767,Obj1826,1844,,Jonathan Thompson,ppl:jthompson,obj1767-s-1,19 Jul 1844,1844-07-19,DBW,ppl:dbw,,NY,obj1767-pl-818,
19,obj1768,Obj1827,1844,,Robert Walsh,ppl:rwj,obj1768-s-1,29 Jul 1844,1844-07-29,DBW,ppl:dbw,,Versailles,obj1768-pl-819,
20,obj1769,Obj1828,1844,,Robert Walsh,ppl:rwj,obj1769-s-1,9 Aug 1844,1844-08-09,DBW,ppl:dbw,,Versailles,obj1769-pl-821,
21,obj1770,Obj1829,1844,,Madam Isobelle Cullemore/Callimore,ppl:icullemore,obj1770-s-1,11 Aug 1844,1844-08-11,DBW,ppl:dbw,,Hotel de France,obj1770-pl-822,
22,obj1771,Obj1830,1844,,Walsh,ppl:rwj,obj1771-s-1,21 Aug 1844,1844-08-21,DBW,ppl:dbw,,Versailles,obj1771-pl-825,
23,obj1772,Obj1831,1844,,Walsh,ppl:rwj,obj1772-s-1,27 Aug 1844,1844-08-27,DBW,ppl:dbw,,Versailles,obj1772-pl-830,
24,obj1773,Obj1832,1844,,Dr Washington,ppl:jawashington,obj1773-s-1,6 Oct 1844,1844-10-06,DBW,ppl:dbw,,New York,obj1773-pl-833,
25,obj1774,Obj1833,1844,,Isaiah Townsend,ppl:ditj,obj1774-s-1,10 Oct 1844,1844-10-10,DBW,ppl:dbw,,,,
26,obj1775,Obj1834,1844,,Col. William Drayton,ppl:wdrayton,obj1775-s-1,22 Oct 1844,1844-10-22,DBW,ppl:dbw,,Philadelphia,obj1775-pl-838,
27,obj1776,Obj1835,1844,,Dr Adams,ppl:jgadams,obj1776-s-1,1 Nov 1844,1844-11-01,DBW,ppl:dbw,,NY,obj1776-pl-840,
28,obj1777,Obj1836,1844,legal,,,,,,,,,,,
29,obj1778,Obj1837,1844,,Ben P. Poore,ppl:bppoore,obj1778-s-1,[Dec 1844],1844-12,DBW,ppl:dbw,,,,
30,obj1779,Obj1838,1844,,Seymour,ppl:drseymour,obj1779-s-1,25 [?Dec? 1844],1844-12-25,DBW,ppl:dbw,,,,
1,obj1781,Obj1839,1845,,Townsend,ppl:ditj,obj1781-s-1,25 Jan 1845,1845-01-25,DBW,ppl:dbw,,,,
2,obj1782,Obj1840,1845,,Robert Walsh,ppl:rwj,obj1782-s-1,19 Feb 1845,1845-02-19,DBW,ppl:dbw,,,,
3,obj1783,Obj1841,1845,,Isaiah Townsend,ppl:ditj,obj1783-s-1,27 Feb 1845,1845-02-27,DBW,ppl:dbw,,,,
4,obj1784,Obj1842,1845,,Peter Wendell,ppl:pwendell,obj1784-s-1,28 [?April?] 1845,1845-04-28,DBW,ppl:dbw,,Albany,obj1784-pl-853,
5,obj1785,Obj1843,1845,,Isaiah Townsend,ppl:ditj,obj1785-s-1,13 & 27 April 1845,1845-04-27,DBW,ppl:dbw,,,,
6,obj1786,Obj1844,1845,,Townsend,ppl:ditj,obj1786-s-1,29 April 1845,1845-04-29,DBW,ppl:dbw,,,,
